Detector_type, Descriptor_type, ImgNumber, TTC_Lidar, TTC_Camera, TTC_Lidar-TTC_Camera, Time
SHITOMASI,BRISK,0001,12.2891,39.1483,26.85922226.59
SHITOMASI,BRISK,0002,13.3547,nan,nan2179.2
SHITOMASI,BRISK,0003,16.3845,13.4904,2.894062050.84
SHITOMASI,BRISK,0004,14.0764,12.398,1.678472053.77
SHITOMASI,BRISK,0005,12.7299,12.6754,0.05454112040
SHITOMASI,BRISK,0006,13.7511,nan,nan2051.79
SHITOMASI,BRISK,0007,13.7314,nan,nan2051.21
SHITOMASI,BRISK,0008,13.7901,nan,nan2045.84
SHITOMASI,BRISK,0009,12.059,11.5126,0.5463722042.77
SHITOMASI,BRISK,0010,11.8642,nan,nan2074.94
SHITOMASI,BRISK,0011,11.9682,11.3024,0.6657862056.63
SHITOMASI,BRISK,0012,9.88711,11.6524,1.765292066.33
SHITOMASI,BRISK,0013,9.42504,11.7243,2.299312067.45
SHITOMASI,BRISK,0014,9.30215,11.8781,2.575972057.62
SHITOMASI,BRISK,0015,8.3212,9.33785,1.016652058.16
SHITOMASI,BRISK,0016,8.89867,11.3079,2.409262073.22
SHITOMASI,BRISK,0017,11.0301,11.4487,0.4186112068.41
SHITOMASI,BRISK,0018,8.53557,9.12792,0.5923552085.94
Detector_type, Descriptor_type, ImgNumber, TTC_Lidar, TTC_Camera, TTC_Lidar-TTC_Camera, Time
SHITOMASI,BRIEF,0001,12.2891,13.8948,1.605661692.9
SHITOMASI,BRIEF,0002,13.3547,13.1487,0.2060551698.64
SHITOMASI,BRIEF,0003,16.3845,14.9173,1.467151700.89
SHITOMASI,BRIEF,0004,14.0764,13.0791,0.997351695.58
SHITOMASI,BRIEF,0005,12.7299,12.1886,0.5413481696.03
SHITOMASI,BRIEF,0006,13.7511,15.1561,1.404981690.82
SHITOMASI,BRIEF,0007,13.7314,18.3368,4.605321689.79
SHITOMASI,BRIEF,0008,13.7901,12.3793,1.410811682.05
SHITOMASI,BRIEF,0009,12.059,12.463,0.4039751686.24
SHITOMASI,BRIEF,0010,11.8642,13.3448,1.480611682.69
SHITOMASI,BRIEF,0011,11.9682,12.2587,0.2904981685.01
SHITOMASI,BRIEF,0012,9.88711,12.7698,2.88271707.26
SHITOMASI,BRIEF,0013,9.42504,12.3243,2.89931698.43
SHITOMASI,BRIEF,0014,9.30215,14.6845,5.382341687.46
SHITOMASI,BRIEF,0015,8.3212,22.1184,13.79721701.96
SHITOMASI,BRIEF,0016,8.89867,11.3856,2.486891697.06
SHITOMASI,BRIEF,0017,11.0301,13.6063,2.576161700.02
SHITOMASI,BRIEF,0018,8.53557,7.75039,0.7851791709.84
Detector_type, Descriptor_type, ImgNumber, TTC_Lidar, TTC_Camera, TTC_Lidar-TTC_Camera, Time
SHITOMASI,ORB,0001,12.2891,13.8801,1.590961696.83
SHITOMASI,ORB,0002,13.3547,17.7333,4.378541703.95
